Feature,Coefficient,Abs_Coefficient
Contract_Two year,-1.5232443008423702,1.5232443008423702
tenure,-1.2395376039324915,1.2395376039324915
InternetService_Fiber optic,1.1289816086488873,1.1289816086488873
Contract_One year,-0.8315435090032766,0.8315435090032766
TotalCharges,0.6544835791047627,0.6544835791047627
MonthlyCharges,-0.5333430375875922,0.5333430375875922
StreamingMovies_No internet service,0.47554101881049404,0.47554101881049404
PaperlessBilling_No,0.4402600789258085,0.4402600789258085
PaymentMethod_Bank transfer (automatic),0.41465020709698963,0.41465020709698963
OnlineSecurity_No internet service,-0.4102359577342764,0.4102359577342764
TechSupport_No internet service,-0.3715395991141762,0.3715395991141762
StreamingTV_No internet service,0.3513617129390513,0.3513617129390513
MultipleLines_Yes,0.34231830029848914,0.34231830029848914
Dependents_Yes,-0.3233042875013688,0.3233042875013688
InternetService_No,-0.16620013152939478,0.16620013152939478
OnlineSecurity_Yes,-0.16620013152939478,0.16620013152939478
OnlineBackup_No,-0.16620013152939478,0.16620013152939478
DeviceProtection_Yes,-0.16620013152939478,0.16620013152939478
TechSupport_Yes,-0.16620013152939478,0.16620013152939478
StreamingTV_Yes,-0.16620013152939478,0.16620013152939478
StreamingMovies_Yes,-0.16620013152939478,0.16620013152939478
OnlineBackup_No internet service,-0.14882506209735072,0.14882506209735072
MultipleLines_No,0.09902637063048172,0.09902637063048172
PhoneService_Yes,-0.09729199800770588,0.09729199800770588
DeviceProtection_No internet service,-0.04894891068656397,0.04894891068656397
PaymentMethod_Credit card (automatic),0.0450997979358832,0.0450997979358832
SeniorCitizen,0.03832769273356287,0.03832769273356287
PaymentMethod_Mailed check,-0.02570479659582883,0.02570479659582883
gender_Male,0.016581121146890792,0.016581121146890792
Partner_No,-0.006715730568150522,0.006715730568150522
